START 2:88
2:182 BGN loop 0 685548 0 0
2:183 END loop
2:174 BGN loop 0 694047 0 0
2:175 END loop
2:166 BGN loop 0 2835486 0 0
2:167 END loop
3:58 BGN loop 685551 72 9521 48195
3:77 END loop
3:65 BGN loop 2149935 685551 3 151
3:74 END loop
3:104 BGN loop 72 72 1 1
3:108 END loop
3:98 BGN loop 69 3 23 23
3:113 END loop
2:139 BGN loop 124650 1 124650 124650
2:142 END loop
3:44 BGN loop 373953 3 124651 124651
3:50 END loop
3:101 BGN loop 72 72 1 1
3:104 END loop
2:118 BGN loop 3 1 3 3
2:133 END loop
3:74 BGN func 2:163
3:70 BGN func 2:179
3:69 BGN func 2:171
3:68 BGN func 2:163
3:105 BGN func 3:54
3:89 BGN func 3:41
2:119 BGN func 3:78
2:146 BGN func 1:98
2:133 BGN func 2:79
2:94 BGN func 1:52
1:79 END func
1:106 END func
2:85 END func
2:167 END func
2:175 END func
2:183 END func
3:52 END func
3:77 END func
3:122 END func
373 NOM  WAR 349|GEPRESULT_g(GEPRESULT_g)
106 NOM  RAW 90|GEPRESULT_agg.result(GEPRESULT_agg.result)
770 NOM  INIT 0|dist(dist) WAR 857|dist(dist)
357 NOM  RAW 100|GEPRESULT_g(GEPRESULT_g)
680 NOM  RAW 1320|GEPRESULT_distance(GEPRESULT_distance)
893 NOM  INIT 0|GEPRESULT_ref.tmp13(GEPRESULT_ref.tmp13) WAW 893|GEPRESULT_ref.tmp13(GEPRESULT_ref.tmp13)
362 NOM  RAW 100|GEPRESULT_g(GEPRESULT_g)
1453 NOM  RAW 1330|GEPRESULT_wl1(GEPRESULT_wl1) RAW 1527|GEPRESULT_wl1(GEPRESULT_wl1)
2012 NOM  RAW 1886|__i1.i.i(__i1.i.i)
139 NOM  RAW 90|GEPRESULT_agg.result(GEPRESULT_agg.result)
80 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
1314 NOM  INIT 0|GEPRESULT_dist_n(GEPRESULT_dist_n) WAR 1460|GEPRESULT_dist_n(GEPRESULT_dist_n) WAR 1631|GEPRESULT_dist_n(GEPRESULT_dist_n)
2263 NOM  RAW 2133|__i1.i.i(__i1.i.i)
1639 NOM  INIT 0|oldv(oldv) WAR 1795|oldv(oldv) WAR 2042|oldv(oldv) WAR 2293|oldv(oldv)
102 NOM  RAW 80|GEPRESULT_agg.result(GEPRESULT_agg.result)
787 NOM  INIT 0|dist_new(dist_new) WAR 968|dist_new(dist_new)
1330 NOM  INIT 0|GEPRESULT_wl1(GEPRESULT_wl1)
858 NOM  RAW 787|dist_new(dist_new)
344 NOM  RAW 90|GEPRESULT_g(GEPRESULT_g)
90 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
118 NOM  RAW 80|GEPRESULT_agg.result(GEPRESULT_agg.result)
857 NOM  RAW 770|dist(dist)
370 NOM  WAR 336|GEPRESULT_g(GEPRESULT_g)
1765 NOM  RAW 1639|__i1.i.i(__i1.i.i)
2293 NOM  RAW 2133|oldv(oldv)
968 NOM  RAW 787|dist_new(dist_new)
658 NOM  RAW 1320|GEPRESULT_distance(GEPRESULT_distance)
1332 NOM  WAW 809|wlsize(wlsize)
2117 NOM  RAW 2109|__m(S-3960)
2115 NOM  INIT *|__b(S-3972)
2177 NOM  INIT *|.atomictmp.i.i(S-3969)
2125 NOM  RAW 881|GEPRESULT_this1.i(GEPRESULT_this1.i)
2176 NOM  RAW 2166|__i2(S-3961)
2175 NOM  RAW 2164|__i1(S-3962)
2283 NOM  INIT *|cmpxchg.bool.i.i(S-3970)
2170 NOM  INIT *|__m2(S-3968)
376 NOM  WAR 362|GEPRESULT_g(GEPRESULT_g)
2168 NOM  INIT *|__m1(S-3967)
2166 NOM  INIT *|__i2(S-3961)
2162 NOM  INIT *|this(S-3963)
2160 NOM  RAW 2154|__m(S-3960)
2157 NOM  RAW 2150|__i1(S-3962)
2156 NOM  RAW 2148|this(S-3963)
2152 NOM  INIT *|__i2(S-3961)
2148 NOM  INIT *|this(S-3963)
2146 NOM  RAW 2101|val(S-3976)
2142 NOM  RAW 2099|addr(S-3975)
2113 NOM  RAW 2109|__m(S-3960)
2109 NOM  INIT *|__m(S-3960)
2111 NOM  RAW 2107|this(S-3963)
2107 NOM  INIT *|this(S-3963)
2101 NOM  INIT *|val(S-3976)
2158 NOM  RAW 2152|__i2(S-3961)
2099 NOM  INIT *|addr(S-3975)
2034 NOM  RAW 2032|cmpxchg.bool.i.i(S-3989)
1927 NOM  RAW 1919|__m2(S-3987)
1925 NOM  RAW 1915|__i2(S-3978)
1924 NOM  RAW 1913|__i1(S-3979)
1923 NOM  RAW 1917|__m1(S-3986)
1921 NOM  RAW 1911|this(S-3980)
1919 NOM  INIT *|__m2(S-3987)
1913 NOM  INIT *|__i1(S-3979)
1911 NOM  INIT *|this(S-3980)
1909 NOM  RAW 1903|__m(S-3977)
1906 NOM  RAW 1899|__i1(S-3979)
976 NOM  RAW 807|wl1(wl1)
1905 NOM  RAW 1897|this(S-3980)
1903 NOM  INIT *|__m(S-3977)
1899 NOM  INIT *|__i1(S-3979)
1897 NOM  INIT *|this(S-3980)
1896 NOM  RAW 1854|val(S-3983)
1890 NOM  RAW 1854|val(S-3983)
1864 NOM  RAW 1860|this(S-3980)
1860 NOM  INIT *|this(S-3980)
1857 NOM  RAW 1852|addr(S-3984)
2137 NOM  RAW 2133|oldv(oldv)
1854 NOM  INIT *|val(S-3983)
1852 NOM  INIT *|addr(S-3984)
2013 NOM  RAW 1926|.atomictmp.i.i(S-3988)
1870 NOM  RAW 1862|__m(S-3977)
988 NOM  RAW 834|time(S-4066)
890 NOM  RAW 768|g(S-4068)
2285 NOM  RAW 2283|cmpxchg.bool.i.i(S-3970)
960 NOM  RAW 880|iter(S-4059)
887 NOM  RAW 772|threadCount(S-4071)
880 NOM  WAR 878|iter(S-4059)
1674 NOM  RAW 1664|this(S-4002)
864 NOM  RAW 834|time(S-4066)
654 NOM  RAW 534|distance(S-4084)
811 NOM  RAW 795|size(S-4067)
627 NOM  WAR 625|i(S-4082)
775 NOM  RAW 768|g(S-4068)
644 NOM  INIT *|maxnode(S-4074)
795 NOM  INIT *|size(S-4067)
1469 NOM  INIT *|beg(S-4017) WAR 1483|beg(S-4017)
929 NOM  WAR 927|i(S-4060)
791 NOM  RAW 768|g(S-4068)
485 NOM  RAW 470|source(S-4089)
1766 NOM  RAW 1679|.atomictmp.i.i(S-4009)
878 NOM  RAW 875|iter(S-4059) RAW 880|iter(S-4059)
655 NOM  RAW 644|maxnode(S-4074) RAW 667|maxnode(S-4074)
915 NOM  INIT *|i(S-4060) WAR 918|i(S-4060)
1479 NOM  RAW 1461|s(S-4018)
768 NOM  INIT *|g(S-4068)
766 NOM  INIT *|src(S-4069)
166 NOM  WAR 148|cnt(S-4095)
1248 NOM  RAW 1216|n(S-4041)
1006 NOM  RAW 995|retval(S-4070)
2178 NOM  RAW 2170|__m2(S-3968)
918 NOM  RAW 915|i(S-4060) RAW 929|i(S-4060)
886 NOM  RAW 883|i(S-4058) RAW 903|i(S-4058)
962 NOM  RAW 880|iter(S-4059)
1617 NOM  RAW 1613|this(S-4002)
862 NOM  RAW 807|wl1(wl1)
667 NOM  WAR 655|maxnode(S-4074)
883 NOM  INIT *|i(S-4058) WAR 886|i(S-4058)
2126 NOM  INIT *|atomic-temp.i(S-3971)
45 NOM  WAR 33|cnt(S-4095)
331 NOM  RAW 80|GEPRESULT_g(GEPRESULT_g)
1303 NOM  RAW 1295|v(S-4038) RAW 1324|v(S-4038)
865 NOM  RAW 834|time(S-4066)
672 NOM  WAR 670|v(S-4085)
1253 NOM  WAW 1219|median(S-4039)
903 NOM  WAR 901|i(S-4058)
1434 NOM  RAW 1414|threadCount(S-4023)
670 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
1607 NOM  INIT *|val(S-3994)
100 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
649 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
922 NOM  RAW 915|i(S-4060) RAW 929|i(S-4060)
1650 NOM  INIT *|this(S-4002)
675 NOM  RAW 644|maxnode(S-4074) RAW 667|maxnode(S-4074)
553 NOM  RAW 492|runveri(S-4088)
936 NOM  RAW 1332|wl1size(wl1size)
659 NOM  RAW 534|distance(S-4084)
1216 NOM  INIT *|n(S-4041)
859 NOM  RAW 768|g(S-4068)
824 NOM  RAW 795|size(S-4067)
666 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
1544 NOM  RAW 1441|idx(S-4020) RAW 1546|idx(S-4020)
547 NOM  RAW 503|threadCount(S-4087) RAW 517|threadCount(S-4087)
434 NOM  INIT *|argv(S-4079)
546 NOM  RAW 534|distance(S-4084)
1400 NOM  INIT *|wl1(S-4027)
789 NOM  RAW 768|g(S-4068)
1610 NOM  RAW 1605|addr(S-3995)
2133 NOM  WAR 2042|oldv(oldv)
1660 NOM  RAW 1654|__i2(S-4000)
545 NOM  RAW 470|source(S-4089)
347 NOM  RAW 327|g(S-4090)
1426 NOM  INIT *|begNode(S-4022)
901 NOM  RAW 883|i(S-4058) RAW 903|i(S-4058)
1664 NOM  INIT *|this(S-4002)
1440 NOM  RAW 1426|begNode(S-4022)
440 NOM  RAW 432|argc(S-4078)
470 NOM  INIT *|source(S-4089)
355 NOM  RAW 327|g(S-4090)
471 NOM  RAW 470|source(S-4089)
1461 NOM  INIT *|s(S-4018) WAR 1479|s(S-4018) WAR 1540|s(S-4018)
374 NOM  RAW 327|g(S-4090)
368 NOM  RAW 327|g(S-4090)
167 NOM  RAW 166|cnt(S-4095)
1885 NOM  RAW 1879|atomic-temp.i(S-3990)
1412 NOM  INIT *|threadID(S-4024)
1926 NOM  INIT *|.atomictmp.i.i(S-3988)
1662 NOM  RAW 1656|__m(S-3996)
677 NOM  RAW 644|maxnode(S-4074) RAW 667|maxnode(S-4074)
371 NOM  RAW 327|g(S-4090)
1678 NOM  RAW 1668|__i2(S-4000)
995 NOM  INIT *|retval(S-4070)
147 NOM  WAR 128|cnt(S-4095)
1879 NOM  INIT *|atomic-temp.i(S-3990)
1310 NOM  RAW 1286|dist_n(S-4033)
148 NOM  RAW 147|cnt(S-4095)
838 NOM  INIT *|saved_stack(S-4065)
2150 NOM  INIT *|__i1(S-3962)
1615 NOM  INIT *|__m(S-3996)
144 NOM  RAW 18|f(S-4094)
1445 NOM  RAW 1438|endNode(S-4021)
927 NOM  RAW 915|i(S-4060) RAW 929|i(S-4060)
