START 2:88
3:59 BGN loop 12223815 3835818 3 151
3:68 END loop
3:93 BGN loop 39 39 1 1
3:97 END loop
3:51 BGN loop 4861389 39 124651 124651
3:73 END loop
3:90 BGN loop 39 39 1 1
3:93 END loop
2:139 BGN loop 124650 1 124650 124650
2:142 END loop
3:44 BGN loop 373953 3 124651 124651
3:47 END loop
3:88 BGN loop 36 3 12 12
3:100 END loop
2:118 BGN loop 3 1 3 3
2:133 END loop
3:69 BGN func 2:157
3:94 BGN func 3:48
3:79 BGN func 3:41
2:119 BGN func 3:75
2:146 BGN func 1:98
2:133 BGN func 2:79
3:64 BGN func 2:157
2:94 BGN func 1:52
1:79 END func
1:106 END func
2:85 END func
2:160 END func
3:47 END func
3:73 END func
3:105 END func
1127 NOM  RAW 552|GEPRESULT_array(GEPRESULT_array)
663 NOM  RAW 1383|GEPRESULT_distance(GEPRESULT_distance)
344 NOM  RAW 90|GEPRESULT_g(GEPRESULT_g)
843 NOM  RAW 1383|goagain(goagain) RAW 788|goagain(goagain)
336 NOM  RAW 80|GEPRESULT_g(GEPRESULT_g)
102 NOM  RAW 80|GEPRESULT_agg.result(GEPRESULT_agg.result)
1383 NOM  WAW 1168|GEPRESULT_this1.i(GEPRESULT_this1.i) WAW 1383|GEPRESULT_this1.i(GEPRESULT_this1.i) WAW 788|GEPRESULT_this1.i(GEPRESULT_this1.i)
331 NOM  RAW 80|GEPRESULT_g(GEPRESULT_g)
552 NOM  INIT 0|GEPRESULT_runtimes(GEPRESULT_runtimes)
158 NOM  RAW 100|GEPRESULT_agg.result(GEPRESULT_agg.result)
100 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
788 NOM  INIT 0|goagain(goagain) WAR 843|goagain(goagain)
376 NOM  WAR 362|GEPRESULT_g(GEPRESULT_g)
362 NOM  RAW 100|GEPRESULT_g(GEPRESULT_g)
106 NOM  RAW 90|GEPRESULT_agg.result(GEPRESULT_agg.result)
90 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
1372 NOM  RAW 1366|this(S-4017)
1366 NOM  INIT *|this(S-4017)
1362 NOM  RAW 1358|addr(S-4016)
1360 NOM  INIT *|val(S-4015)
1379 NOM  RAW 1368|__i(S-4018)
1378 NOM  RAW 1370|__m(S-4019)
1270 NOM  RAW 1269|s(S-4035)
1269 NOM  INIT *|s(S-4035) WAR 1270|s(S-4035) WAR 1293|s(S-4035)
1265 NOM  RAW 1239|v(S-4023) RAW 1332|v(S-4023)
1262 NOM  INIT *|end(S-4036) WAR 1281|end(S-4036)
1242 NOM  RAW 1239|v(S-4023) RAW 1332|v(S-4023)
1238 NOM  RAW 1229|threadID(S-4026)
1332 NOM  WAR 1330|v(S-4023)
1236 NOM  INIT *|top(S-4024)
1229 NOM  INIT *|threadID(S-4026)
1227 NOM  INIT *|iter(S-4025)
1223 NOM  INIT *|dist(S-4027)
1365 NOM  RAW 1360|val(S-4015)
1304 NOM  RAW 1295|new_dist(S-4031)
1298 NOM  RAW 1291|dst(S-4033)
1295 NOM  INIT *|new_dist(S-4031) WAR 1304|new_dist(S-4031) WAR 1311|new_dist(S-4031)
1287 NOM  RAW 1277|i(S-4034) RAW 1318|i(S-4034)
1318 NOM  WAR 1316|i(S-4034)
1316 NOM  RAW 1277|i(S-4034) RAW 1318|i(S-4034)
1281 NOM  RAW 1262|end(S-4036)
1280 NOM  RAW 1277|i(S-4034) RAW 1318|i(S-4034)
1321 NOM  RAW 1274|updated(S-4032) RAW 1313|updated(S-4032)
1307 NOM  RAW 1223|dist(S-4027)
1277 NOM  INIT *|i(S-4034) WAR 1280|i(S-4034)
1276 NOM  RAW 1253|beg(S-4022)
1330 NOM  RAW 1239|v(S-4023) RAW 1332|v(S-4023)
1274 NOM  INIT *|updated(S-4032) WAR 1321|updated(S-4032)
1324 NOM  RAW 1225|goagain(S-4028)
1329 NOM  RAW 1231|threadCount(S-4029)
1225 NOM  INIT *|goagain(S-4028)
1165 NOM  RAW 1152|v(S-4040) RAW 1172|v(S-4040)
1164 NOM  RAW 1147|dist(S-4038)
1159 NOM  RAW 1152|v(S-4040) RAW 1172|v(S-4040)
370 NOM  WAR 336|GEPRESULT_g(GEPRESULT_g)
1311 NOM  RAW 1295|new_dist(S-4031)
1170 NOM  RAW 1152|v(S-4040) RAW 1172|v(S-4040)
1155 NOM  RAW 1152|v(S-4040) RAW 1172|v(S-4040)
1239 NOM  INIT *|v(S-4023)
1147 NOM  INIT *|dist(S-4038)
373 NOM  WAR 349|GEPRESULT_g(GEPRESULT_g)
437 NOM  RAW 432|argc(S-4078)
666 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
834 NOM  RAW 822|i(S-4061) RAW 836|i(S-4061)
794 NOM  RAW 751|threadCount(S-4073)
640 NOM  RAW 633|med(S-4083)
634 NOM  RAW 633|med(S-4083)
866 NOM  INIT *|runtime(S-4059)
539 NOM  INIT *|i(S-4082)
485 NOM  RAW 470|source(S-4089)
534 NOM  INIT *|distance(S-4084)
455 NOM  RAW 434|argv(S-4079)
646 NOM  INIT *|v(S-4085)
118 NOM  RAW 80|GEPRESULT_agg.result(GEPRESULT_agg.result)
1264 NOM  RAW 1223|dist(S-4027)
881 NOM  RAW 870|retval(S-4072)
1368 NOM  INIT *|__i(S-4018)
513 NOM  RAW 512|countInt(S-4086)
512 NOM  INIT *|countInt(S-4086)
1370 NOM  INIT *|__m(S-4019)
549 NOM  RAW 539|i(S-4082) RAW 627|i(S-4082)
470 NOM  INIT *|source(S-4089)
1376 NOM  INIT *|__b(S-4020)
488 NOM  RAW 434|argv(S-4079)
749 NOM  INIT *|dist(S-4070)
800 NOM  INIT 0|GEPRESULT_ref.tmp1(GEPRESULT_ref.tmp1) WAW 800|GEPRESULT_ref.tmp1(GEPRESULT_ref.tmp1)
492 NOM  INIT *|runveri(S-4088)
658 NOM  RAW 1168|GEPRESULT_distance(GEPRESULT_distance) RAW 1383|GEPRESULT_distance(GEPRESULT_distance)
18 NOM  INIT *|f(S-4094)
466 NOM  RAW 434|argv(S-4079)
342 NOM  RAW 327|g(S-4090)
1308 NOM  RAW 1291|dst(S-4033)
127 NOM  WAR 46|cnt(S-4095)
360 NOM  RAW 327|g(S-4090)
128 NOM  RAW 127|cnt(S-4095)
1313 NOM  WAW 1274|updated(S-4032) WAW 1313|updated(S-4032)
542 NOM  RAW 539|i(S-4082) RAW 627|i(S-4082)
625 NOM  RAW 539|i(S-4082) RAW 627|i(S-4082)
776 NOM  RAW 747|g(S-4069)
1152 NOM  INIT *|v(S-4040)
517 NOM  WAW 503|threadCount(S-4087)
1291 NOM  INIT *|dst(S-4033) WAR 1298|dst(S-4033) WAR 1308|dst(S-4033)
627 NOM  WAR 625|i(S-4082)
32 NOM  INIT *|cnt(S-4095)
16 NOM  RAW 11|fname(S-4096)
42 NOM  RAW 18|f(S-4094)
1358 NOM  INIT *|addr(S-4016)
124 NOM  RAW 18|f(S-4094)
680 NOM  RAW 1383|GEPRESULT_distance(GEPRESULT_distance)
841 NOM  WAR 839|iter(S-4062)
431 NOM  INIT *|retval(S-4077)
1257 NOM  RAW 1239|v(S-4023) RAW 1332|v(S-4023)
1231 NOM  INIT *|threadCount(S-4029)
825 NOM  RAW 822|i(S-4061) RAW 836|i(S-4061)
1249 NOM  RAW 1239|v(S-4023) RAW 1332|v(S-4023)
163 NOM  RAW 18|f(S-4094)
516 NOM  RAW 512|countInt(S-4086)
46 NOM  RAW 45|cnt(S-4095)
1374 NOM  RAW 1370|__m(S-4019)
33 NOM  RAW 32|cnt(S-4095)
1243 NOM  RAW 1236|top(S-4024)
1145 NOM  INIT *|src(S-4037)
633 NOM  INIT *|med(S-4083)
334 NOM  RAW 327|g(S-4090)
1149 NOM  INIT *|size(S-4039)
451 NOM  RAW 434|argv(S-4079)
1094 NOM  INIT *|median(S-4041)
189 NOM  RAW 18|f(S-4094)
179 NOM  RAW 166|cnt(S-4095)
503 NOM  INIT *|threadCount(S-4087)
1303 NOM  RAW 1302|d(S-4030)
45 NOM  WAR 33|cnt(S-4095)
148 NOM  RAW 147|cnt(S-4095)
329 NOM  RAW 327|g(S-4090)
147 NOM  WAR 128|cnt(S-4095)
1172 NOM  WAR 1170|v(S-4040)
520 NOM  RAW 503|threadCount(S-4087) RAW 517|threadCount(S-4087)
11 NOM  INIT *|fname(S-4096)
493 NOM  RAW 492|runveri(S-4088)
879 NOM  RAW 756|saved_stack(S-4068)
355 NOM  RAW 327|g(S-4090)
29 NOM  RAW 18|f(S-4094)
471 NOM  RAW 470|source(S-4089)
440 NOM  RAW 432|argc(S-4078)
371 NOM  RAW 327|g(S-4090)
1302 NOM  INIT *|d(S-4030) WAR 1303|d(S-4030)
167 NOM  RAW 166|cnt(S-4095)
368 NOM  RAW 327|g(S-4090)
374 NOM  RAW 327|g(S-4090)
836 NOM  WAR 834|i(S-4061)
327 NOM  INIT *|g(S-4090)
166 NOM  WAR 148|cnt(S-4095)
1380 NOM  INIT *|.atomictmp.i(S-4021)
1297 NOM  RAW 1223|dist(S-4027)
432 NOM  INIT *|argc(S-4078)
676 NOM  RAW 534|distance(S-4084)
1160 NOM  RAW 1145|src(S-4037)
347 NOM  RAW 327|g(S-4090)
545 NOM  RAW 470|source(S-4089)
1382 NOM  RAW 1380|.atomictmp.i(S-4021)
546 NOM  RAW 534|distance(S-4084)
867 NOM  RAW 841|iter(S-4062)
434 NOM  INIT *|argv(S-4079)
869 NOM  RAW 866|runtime(S-4059)
1101 NOM  RAW 1091|n(S-4043)
547 NOM  RAW 503|threadCount(S-4087) RAW 517|threadCount(S-4087)
774 NOM  RAW 745|src(S-4071)
553 NOM  RAW 492|runveri(S-4088)
675 NOM  RAW 644|maxnode(S-4074) RAW 667|maxnode(S-4074)
1089 NOM  INIT *|array(S-4042)
762 NOM  INIT *|__vla_expr0(S-4066)
677 NOM  RAW 644|maxnode(S-4074) RAW 667|maxnode(S-4074)
682 NOM  RAW 534|distance(S-4084)
1097 NOM  RAW 1091|n(S-4043)
649 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
659 NOM  RAW 534|distance(S-4084)
1253 NOM  INIT *|beg(S-4022) WAR 1276|beg(S-4022)
672 NOM  WAR 670|v(S-4085)
654 NOM  RAW 534|distance(S-4084)
655 NOM  RAW 644|maxnode(S-4074) RAW 667|maxnode(S-4074)
349 NOM  RAW 90|GEPRESULT_g(GEPRESULT_g)
1122 NOM  RAW 1089|array(S-4042)
1156 NOM  RAW 1149|size(S-4039)
536 NOM  INIT *|runs(S-4080)
839 NOM  RAW 785|iter(S-4062) RAW 841|iter(S-4062)
670 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
826 NOM  RAW 751|threadCount(S-4073)
829 NOM  RAW 822|i(S-4061) RAW 836|i(S-4061)
667 NOM  WAR 655|maxnode(S-4074)
802 NOM  RAW 790|i(S-4060) RAW 810|i(S-4060)
747 NOM  INIT *|g(S-4069)
753 NOM  RAW 751|threadCount(S-4073)
1168 NOM  INIT 0|GEPRESULT_dist(GEPRESULT_dist) WAW 1168|GEPRESULT_dist(GEPRESULT_dist) WAW 1383|GEPRESULT_dist(GEPRESULT_dist)
660 NOM  RAW 646|v(S-4085) RAW 672|v(S-4085)
756 NOM  INIT *|saved_stack(S-4068)
1130 NOM  RAW 1128|median(S-4041)
785 NOM  INIT *|iter(S-4062)
790 NOM  INIT *|i(S-4060) WAR 793|i(S-4060)
144 NOM  RAW 18|f(S-4094)
822 NOM  INIT *|i(S-4061) WAR 825|i(S-4061)
793 NOM  RAW 790|i(S-4060) RAW 810|i(S-4060)
110 NOM  RAW 100|GEPRESULT_agg.result(GEPRESULT_agg.result)
810 NOM  WAR 808|i(S-4060)
751 NOM  INIT *|threadCount(S-4073)
19 NOM  RAW 18|f(S-4094)
644 NOM  INIT *|maxnode(S-4074)
775 NOM  RAW 749|dist(S-4070)
797 NOM  RAW 747|g(S-4069)
474 NOM  RAW 470|source(S-4089)
870 NOM  INIT *|retval(S-4072)
1091 NOM  INIT *|n(S-4043)
139 NOM  RAW 90|GEPRESULT_agg.result(GEPRESULT_agg.result)
745 NOM  INIT *|src(S-4071)
