START 2:68
2:111 BGN loop 387240 124651 3 151
2:114 END loop
3:48 BGN loop 4986040 40 124651 124651
3:58 END loop
2:106 BGN loop 124651 1 124651 124651
2:107 END loop
3:50 BGN loop 15489600 4986040 3 151
3:54 END loop
3:76 BGN loop 40 40 1 1
3:79 END loop
3:75 BGN loop 4986040 40 124651 124651
3:76 END loop
2:116 BGN loop 124651 1 124651 124651
2:121 END loop
3:73 BGN loop 39 1 39 39
3:85 END loop
2:109 BGN loop 124651 1 124651 124651
2:116 END loop
3:79 BGN loop 40 40 1 1
3:82 END loop
2:83 BGN loop 124651 1 124651 124651
2:87 END loop
3:80 BGN func 3:44
2:98 BGN func 3:63
2:75 BGN func 1:52
1:79 END func
3:61 END func
3:91 END func
555 NOM  INIT 0|init_score(init_score)
732 NOM  WAR 712|GEPRESULT_incomming_sums(GEPRESULT_incomming_sums)
512 NOM  RAW 80|GEPRESULT_g(GEPRESULT_g)
684 NOM  WAR 682|GEPRESULT_incomming_sums(GEPRESULT_incomming_sums)
1132 NOM  RAW 1142|GEPRESULT_scores(GEPRESULT_scores)
721 NOM  RAW 1142|GEPRESULT_scores(GEPRESULT_scores)
890 NOM  INIT 0|GEPRESULT_outgoing_contrib(GEPRESULT_outgoing_contrib) WAR 1117|GEPRESULT_outgoing_contrib(GEPRESULT_outgoing_contrib)
522 NOM  INIT 0|GEPRESULT_degree(GEPRESULT_degree)
100 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
102 NOM  RAW 80|GEPRESULT_agg.result(GEPRESULT_agg.result)
1117 NOM  RAW 890|GEPRESULT_outgoing_contrib(GEPRESULT_outgoing_contrib)
648 NOM  RAW 522|GEPRESULT_degree(GEPRESULT_degree)
1147 NOM  RAW 1142|GEPRESULT_scores(GEPRESULT_scores)
654 NOM  RAW 80|GEPRESULT_g(GEPRESULT_g)
864 NOM  INIT 0|error(error) WAR 946|error(error)
1165 NOM  RAW 864|error(error)
682 NOM  RAW 620|GEPRESULT_incomming_sums(GEPRESULT_incomming_sums) RAW 684|GEPRESULT_incomming_sums(GEPRESULT_incomming_sums)
946 NOM  RAW 1167|error(error)
1114 NOM  RAW 1112|nei(S-4041)
1113 NOM  RAW 1056|outgoing_contrib(S-4050)
1108 NOM  RAW 1092|j(S-4043) RAW 1124|j(S-4043)
1167 NOM  WAR 1165|error(error)
1122 NOM  RAW 1092|j(S-4043) RAW 1124|j(S-4043)
139 NOM  RAW 90|GEPRESULT_agg.result(GEPRESULT_agg.result)
1095 NOM  RAW 1092|j(S-4043) RAW 1124|j(S-4043)
1154 NOM  WAR 1152|local_error(S-4047)
1148 NOM  RAW 1133|old_score(S-4042)
1143 NOM  RAW 1058|scores(S-4054)
1138 NOM  RAW 1058|scores(S-4054)
1135 NOM  RAW 1084|incoming_total(S-4044) RAW 1120|incoming_total(S-4044)
664 NOM  RAW 80|GEPRESULT_g(GEPRESULT_g)
1134 NOM  RAW 1062|base_score(S-4051)
1129 NOM  RAW 1076|i(S-4045) RAW 1159|i(S-4045)
80 NOM  INIT 0|GEPRESULT_agg.result(GEPRESULT_agg.result)
1128 NOM  RAW 1058|scores(S-4054)
1159 NOM  WAR 1157|i(S-4045)
1080 NOM  RAW 1073|top(S-4046)
1164 NOM  RAW 1054|error(S-4052)
